Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
ladies only gym near me,INR,5000,0%,0%,Low,4,7.48,44.51
cheapest gym membership,INR,50,0%,0%,Low,21,6.84,53.63
xtreme gym,INR,500,0%,0%,Low,2,,
10 minute workout,INR,500,0%,0%,Low,2,,
full body kettlebell workout,INR,500,0%,0%,Low,3,,
workout places near me,INR,500,0%,0%,Low,11,12.31,78.74
core exercises gym,INR,5000,0%,900%,Low,1,1.97,55.92
phoenix gym,INR,500,0%,0%,Low,1,19.27,143.9
oyo gym,INR,50,0%,0%,Low,16,,
slam fitness,INR,5000,0%,0%,Low,4,6.41,66.93
studio fitness,INR,50,0%,0%,Low,1,,
fitness gear,INR,500,0%,0%,High,76,2.3,32.11
personal trainer cost,INR,500,0%,0%,Low,20,7.67,114.21
fitness 365,INR,500,900%,900%,Low,1,32.56,170.84
hip workouts,INR,5000,0%,0%,Low,1,,
closest gym to me,INR,500,0%,0%,Low,11,10.56,56.68
best exercises for weight loss,INR,5000,900%,0%,Low,10,1.12,28.14
fitness 1,INR,50,0%,900%,Low,1,,
mens fitness,INR,500,0%,-90%,Low,8,7.96,91.7
body exercise,INR,5000,0%,0%,Low,4,1.17,30.1
hercules gym,INR,500,0%,0%,Low,3,0.98,32.96
kendall jenner workout,INR,500,0%,0%,Low,0,,
lifestyle gym,INR,500,0%,0%,Low,1,27.61,115.12
gym coach,INR,5000,0%,900%,Low,4,9.5,50.54
walking workout,INR,500,0%,0%,Low,15,1.17,80.6
